Source;Target;Relationship type;Pääluokka;Alaluokka;Tapaus_ID
3267;2631;1–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3267;2708;1–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3267;3381;1–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3267;2474;1–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3278;668;5–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3278;2709;5–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3278;2631;5–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3278;2708;5–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3278;3381;5–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3278;2474;5–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
668;2709;4–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
668;2631;4–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
668;2708;4–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
668;3381;4–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
668;2474;4–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2709;2631;4–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2709;2708;4–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2709;3381;4–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2709;2474;4–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2631;2708;4–4;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2631;3381;4–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2631;2474;4–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2708;3381;4–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
2708;2474;4–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
3381;2474;2–2;Varkausrikokset;Ryöstö, varkaus, näpistys;1952
289;2631;1–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1953
289;2028;1–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1953
289;3269;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1953
2631;2028;3–3;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1953
2631;3269;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1953
2028;3269;3–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1953
832;557;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1954
2731;2716;5–5;Väkivalta;Lapsenmurha;1955
2731;871;5–3;Väkivalta;Lapsenmurha;1955
2731;2723;5–3;Väkivalta;Lapsenmurha;1955
2731;3261;5–3;Väkivalta;Lapsenmurha;1955
2731;2523;5–3;Väkivalta;Lapsenmurha;1955
2731;2751;5–3;Väkivalta;Lapsenmurha;1955
2731;2631;5–6;Väkivalta;Lapsenmurha;1955
2731;2115;5–4;Väkivalta;Lapsenmurha;1955
2731;1759;5–4;Väkivalta;Lapsenmurha;1955
2731;95;5–4;Väkivalta;Lapsenmurha;1955
2731;2949;5–4;Väkivalta;Lapsenmurha;1955
2731;1534;5–2;Väkivalta;Lapsenmurha;1955
2731;128;5–2;Väkivalta;Lapsenmurha;1955
2716;871;5–3;Väkivalta;Lapsenmurha;1955
2716;2723;5–3;Väkivalta;Lapsenmurha;1955
2716;3261;5–3;Väkivalta;Lapsenmurha;1955
2716;2523;5–3;Väkivalta;Lapsenmurha;1955
2716;2751;5–3;Väkivalta;Lapsenmurha;1955
2716;2631;5–6;Väkivalta;Lapsenmurha;1955
2716;2115;5–4;Väkivalta;Lapsenmurha;1955
2716;1759;5–4;Väkivalta;Lapsenmurha;1955
2716;95;5–4;Väkivalta;Lapsenmurha;1955
2716;2949;5–4;Väkivalta;Lapsenmurha;1955
2716;1534;5–2;Väkivalta;Lapsenmurha;1955
2716;128;5–2;Väkivalta;Lapsenmurha;1955
871;2723;3–3;Väkivalta;Lapsenmurha;1955
871;3261;3–3;Väkivalta;Lapsenmurha;1955
871;2523;3–3;Väkivalta;Lapsenmurha;1955
871;2751;3–3;Väkivalta;Lapsenmurha;1955
871;2631;3–6;Väkivalta;Lapsenmurha;1955
871;2115;3–4;Väkivalta;Lapsenmurha;1955
871;1759;3–4;Väkivalta;Lapsenmurha;1955
871;95;3–4;Väkivalta;Lapsenmurha;1955
871;2949;3–4;Väkivalta;Lapsenmurha;1955
871;1534;3–2;Väkivalta;Lapsenmurha;1955
871;128;3–2;Väkivalta;Lapsenmurha;1955
2723;3261;3–3;Väkivalta;Lapsenmurha;1955
2723;2523;3–3;Väkivalta;Lapsenmurha;1955
2723;2751;3–3;Väkivalta;Lapsenmurha;1955
2723;2631;3–6;Väkivalta;Lapsenmurha;1955
2723;2115;3–4;Väkivalta;Lapsenmurha;1955
2723;1759;3–4;Väkivalta;Lapsenmurha;1955
2723;95;3–4;Väkivalta;Lapsenmurha;1955
2723;2949;3–4;Väkivalta;Lapsenmurha;1955
2723;1534;3–2;Väkivalta;Lapsenmurha;1955
2723;128;3–2;Väkivalta;Lapsenmurha;1955
3261;2523;3–3;Väkivalta;Lapsenmurha;1955
3261;2751;3–3;Väkivalta;Lapsenmurha;1955
3261;2631;3–6;Väkivalta;Lapsenmurha;1955
3261;2115;3–4;Väkivalta;Lapsenmurha;1955
3261;1759;3–4;Väkivalta;Lapsenmurha;1955
3261;95;3–4;Väkivalta;Lapsenmurha;1955
3261;2949;3–4;Väkivalta;Lapsenmurha;1955
3261;1534;3–2;Väkivalta;Lapsenmurha;1955
3261;128;3–2;Väkivalta;Lapsenmurha;1955
2523;2751;3–3;Väkivalta;Lapsenmurha;1955
2523;2631;3–6;Väkivalta;Lapsenmurha;1955
2523;2115;3–4;Väkivalta;Lapsenmurha;1955
2523;1759;3–4;Väkivalta;Lapsenmurha;1955
2523;95;3–4;Väkivalta;Lapsenmurha;1955
2523;2949;3–4;Väkivalta;Lapsenmurha;1955
2523;1534;3–2;Väkivalta;Lapsenmurha;1955
2523;128;3–2;Väkivalta;Lapsenmurha;1955
2751;2631;3–6;Väkivalta;Lapsenmurha;1955
2751;2115;3–4;Väkivalta;Lapsenmurha;1955
2751;1759;3–4;Väkivalta;Lapsenmurha;1955
2751;95;3–4;Väkivalta;Lapsenmurha;1955
2751;2949;3–4;Väkivalta;Lapsenmurha;1955
2751;1534;3–2;Väkivalta;Lapsenmurha;1955
2751;128;3–2;Väkivalta;Lapsenmurha;1955
2631;2115;6–4;Väkivalta;Lapsenmurha;1955
2631;1759;6–4;Väkivalta;Lapsenmurha;1955
2631;95;6–4;Väkivalta;Lapsenmurha;1955
2631;2949;6–4;Väkivalta;Lapsenmurha;1955
2631;1534;6–2;Väkivalta;Lapsenmurha;1955
2631;128;6–2;Väkivalta;Lapsenmurha;1955
2115;1759;4–4;Väkivalta;Lapsenmurha;1955
2115;95;4–4;Väkivalta;Lapsenmurha;1955
2115;2949;4–4;Väkivalta;Lapsenmurha;1955
2115;1534;4–2;Väkivalta;Lapsenmurha;1955
2115;128;4–2;Väkivalta;Lapsenmurha;1955
1759;95;4–4;Väkivalta;Lapsenmurha;1955
1759;2949;4–4;Väkivalta;Lapsenmurha;1955
1759;1534;4–2;Väkivalta;Lapsenmurha;1955
1759;128;4–2;Väkivalta;Lapsenmurha;1955
95;2949;4–4;Väkivalta;Lapsenmurha;1955
95;1534;4–2;Väkivalta;Lapsenmurha;1955
95;128;4–2;Väkivalta;Lapsenmurha;1955
2949;1534;4–2;Väkivalta;Lapsenmurha;1955
2949;128;4–2;Väkivalta;Lapsenmurha;1955
1534;128;2–2;Väkivalta;Lapsenmurha;1955
2731;2716;5–5;Seksuaalirikokset;Salavuoteus;1956
2731;871;5–3;Seksuaalirikokset;Salavuoteus;1956
2731;2723;5–3;Seksuaalirikokset;Salavuoteus;1956
2731;3261;5–3;Seksuaalirikokset;Salavuoteus;1956
2731;2523;5–3;Seksuaalirikokset;Salavuoteus;1956
2731;2751;5–3;Seksuaalirikokset;Salavuoteus;1956
2731;2631;5–6;Seksuaalirikokset;Salavuoteus;1956
2731;2115;5–4;Seksuaalirikokset;Salavuoteus;1956
2731;1759;5–4;Seksuaalirikokset;Salavuoteus;1956
2731;95;5–4;Seksuaalirikokset;Salavuoteus;1956
2731;2949;5–4;Seksuaalirikokset;Salavuoteus;1956
2731;1534;5–2;Seksuaalirikokset;Salavuoteus;1956
2731;128;5–2;Seksuaalirikokset;Salavuoteus;1956
2716;871;5–3;Seksuaalirikokset;Salavuoteus;1956
2716;2723;5–3;Seksuaalirikokset;Salavuoteus;1956
2716;3261;5–3;Seksuaalirikokset;Salavuoteus;1956
2716;2523;5–3;Seksuaalirikokset;Salavuoteus;1956
2716;2751;5–3;Seksuaalirikokset;Salavuoteus;1956
2716;2631;5–6;Seksuaalirikokset;Salavuoteus;1956
2716;2115;5–4;Seksuaalirikokset;Salavuoteus;1956
2716;1759;5–4;Seksuaalirikokset;Salavuoteus;1956
2716;95;5–4;Seksuaalirikokset;Salavuoteus;1956
2716;2949;5–4;Seksuaalirikokset;Salavuoteus;1956
2716;1534;5–2;Seksuaalirikokset;Salavuoteus;1956
2716;128;5–2;Seksuaalirikokset;Salavuoteus;1956
871;2723;3–3;Seksuaalirikokset;Salavuoteus;1956
871;3261;3–3;Seksuaalirikokset;Salavuoteus;1956
871;2523;3–3;Seksuaalirikokset;Salavuoteus;1956
871;2751;3–3;Seksuaalirikokset;Salavuoteus;1956
871;2631;3–6;Seksuaalirikokset;Salavuoteus;1956
871;2115;3–4;Seksuaalirikokset;Salavuoteus;1956
871;1759;3–4;Seksuaalirikokset;Salavuoteus;1956
871;95;3–4;Seksuaalirikokset;Salavuoteus;1956
871;2949;3–4;Seksuaalirikokset;Salavuoteus;1956
871;1534;3–2;Seksuaalirikokset;Salavuoteus;1956
871;128;3–2;Seksuaalirikokset;Salavuoteus;1956
2723;3261;3–3;Seksuaalirikokset;Salavuoteus;1956
2723;2523;3–3;Seksuaalirikokset;Salavuoteus;1956
2723;2751;3–3;Seksuaalirikokset;Salavuoteus;1956
2723;2631;3–6;Seksuaalirikokset;Salavuoteus;1956
2723;2115;3–4;Seksuaalirikokset;Salavuoteus;1956
2723;1759;3–4;Seksuaalirikokset;Salavuoteus;1956
2723;95;3–4;Seksuaalirikokset;Salavuoteus;1956
2723;2949;3–4;Seksuaalirikokset;Salavuoteus;1956
2723;1534;3–2;Seksuaalirikokset;Salavuoteus;1956
2723;128;3–2;Seksuaalirikokset;Salavuoteus;1956
3261;2523;3–3;Seksuaalirikokset;Salavuoteus;1956
3261;2751;3–3;Seksuaalirikokset;Salavuoteus;1956
3261;2631;3–6;Seksuaalirikokset;Salavuoteus;1956
3261;2115;3–4;Seksuaalirikokset;Salavuoteus;1956
3261;1759;3–4;Seksuaalirikokset;Salavuoteus;1956
3261;95;3–4;Seksuaalirikokset;Salavuoteus;1956
3261;2949;3–4;Seksuaalirikokset;Salavuoteus;1956
3261;1534;3–2;Seksuaalirikokset;Salavuoteus;1956
3261;128;3–2;Seksuaalirikokset;Salavuoteus;1956
2523;2751;3–3;Seksuaalirikokset;Salavuoteus;1956
2523;2631;3–6;Seksuaalirikokset;Salavuoteus;1956
2523;2115;3–4;Seksuaalirikokset;Salavuoteus;1956
2523;1759;3–4;Seksuaalirikokset;Salavuoteus;1956
2523;95;3–4;Seksuaalirikokset;Salavuoteus;1956
2523;2949;3–4;Seksuaalirikokset;Salavuoteus;1956
2523;1534;3–2;Seksuaalirikokset;Salavuoteus;1956
2523;128;3–2;Seksuaalirikokset;Salavuoteus;1956
2751;2631;3–6;Seksuaalirikokset;Salavuoteus;1956
2751;2115;3–4;Seksuaalirikokset;Salavuoteus;1956
2751;1759;3–4;Seksuaalirikokset;Salavuoteus;1956
2751;95;3–4;Seksuaalirikokset;Salavuoteus;1956
2751;2949;3–4;Seksuaalirikokset;Salavuoteus;1956
2751;1534;3–2;Seksuaalirikokset;Salavuoteus;1956
2751;128;3–2;Seksuaalirikokset;Salavuoteus;1956
2631;2115;6–4;Seksuaalirikokset;Salavuoteus;1956
2631;1759;6–4;Seksuaalirikokset;Salavuoteus;1956
2631;95;6–4;Seksuaalirikokset;Salavuoteus;1956
2631;2949;6–4;Seksuaalirikokset;Salavuoteus;1956
2631;1534;6–2;Seksuaalirikokset;Salavuoteus;1956
2631;128;6–2;Seksuaalirikokset;Salavuoteus;1956
2115;1759;4–4;Seksuaalirikokset;Salavuoteus;1956
2115;95;4–4;Seksuaalirikokset;Salavuoteus;1956
2115;2949;4–4;Seksuaalirikokset;Salavuoteus;1956
2115;1534;4–2;Seksuaalirikokset;Salavuoteus;1956
2115;128;4–2;Seksuaalirikokset;Salavuoteus;1956
1759;95;4–4;Seksuaalirikokset;Salavuoteus;1956
1759;2949;4–4;Seksuaalirikokset;Salavuoteus;1956
1759;1534;4–2;Seksuaalirikokset;Salavuoteus;1956
1759;128;4–2;Seksuaalirikokset;Salavuoteus;1956
95;2949;4–4;Seksuaalirikokset;Salavuoteus;1956
95;1534;4–2;Seksuaalirikokset;Salavuoteus;1956
95;128;4–2;Seksuaalirikokset;Salavuoteus;1956
2949;1534;4–2;Seksuaalirikokset;Salavuoteus;1956
2949;128;4–2;Seksuaalirikokset;Salavuoteus;1956
1534;128;2–2;Seksuaalirikokset;Salavuoteus;1956
871;421;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1961
871;400;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1961
871;2580;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1961
421;400;2–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1961
421;2580;2–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1961
400;2580;2–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1961
586;3388;1–1;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1962
225;2131;1–5;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
225;71;1–5;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
225;1879;1–4;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
225;2497;1–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
2131;71;5–5;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
2131;1879;5–4;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
2131;2497;5–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
71;1879;5–4;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
71;2497;5–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
1879;2497;4–2;Maanhallinta ja nautinta;Kalastusvedet ja kalastamot;1965
1066;460;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1966
798;2058;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1970
798;2578;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1970
2058;2578;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1970
577;1933;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1971
1933;577;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1972
46;2144;1–5;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1974
46;1467;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1974
2144;1467;5–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1974
386;443;1–4;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1975
386;2751;1–4;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1975
386;960;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1975
443;2751;4–4;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1975
443;960;4–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1975
2751;960;4–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1975
2983;455;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1976
2983;871;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1976
2983;2448;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1976
455;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1976
455;2448;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1976
871;2448;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1976
1352;3381;1–5;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1977
1352;668;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1977
3381;668;5–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1977
775;1549;1–2;Maanhallinta ja nautinta;Tilan tai tontin hallinta;1978
1884;1854;1–5;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
1884;620;1–5;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
1884;455;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
1884;871;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
1884;616;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
1854;620;5–5;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
1854;455;5–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
1854;871;5–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
1854;616;5–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
620;455;5–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
620;871;5–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
620;616;5–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
455;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
455;616;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
871;616;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1979
958;443;1–2;Vahingonkorvaukset;Vahingossa syntyneet tulipalot;1980
1306;2651;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1981
2203;455;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1982
2203;1162;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1982
2203;1162;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1982
455;1162;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1982
455;1162;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1982
1162;1162;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1982
163;3261;5–3;Verorästit;Alaluokka_Verorästit;1983
163;871;5–3;Verorästit;Alaluokka_Verorästit;1983
163;2751;5–2;Verorästit;Alaluokka_Verorästit;1983
3261;871;3–3;Verorästit;Alaluokka_Verorästit;1983
3261;2751;3–2;Verorästit;Alaluokka_Verorästit;1983
871;2751;3–2;Verorästit;Alaluokka_Verorästit;1983
363;455;1–2;Velat, ulosmittaukset ja kaupankäynti;Velka, laina, ulosmittaus (raha, hyödyke, tavara);1984
2580;591;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2580;607;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2580;2141;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2580;2723;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2580;2751;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2580;668;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2580;1086;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2580;1196;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2580;871;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
591;607;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
591;2141;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
591;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
591;2751;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
591;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
591;1086;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
591;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
591;871;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
607;2141;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
607;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
607;2751;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
607;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
607;1086;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
607;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
607;871;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2141;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2141;2751;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2141;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2141;1086;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2141;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2141;871;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2723;2751;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2723;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2723;1086;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2723;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2723;871;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2751;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2751;1086;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2751;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
2751;871;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
668;1086;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
668;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
668;871;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
1086;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
1086;871;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
1196;871;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1985
1522;1511;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1986
1486;1467;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1486;1481;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1486;3008;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1486;1897;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1486;1445;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1467;1481;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1467;3008;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1467;1897;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1467;1445;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1481;3008;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1481;1897;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1481;1445;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
3008;1897;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
3008;1445;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
1897;1445;2–2;Vahingonkorvaukset;Muut vahingonkorvaukset;1987
3113;1196;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3113;3261;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3113;2028;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3113;2523;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3113;3093;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3113;2306;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3113;2120;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
1196;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
1196;2028;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
1196;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
1196;3093;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
1196;2306;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
1196;2120;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3261;2028;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3261;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3261;3093;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3261;2306;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3261;2120;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
2028;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
2028;3093;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
2028;2306;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
2028;2120;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
2523;3093;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
2523;2306;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
2523;2120;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3093;2306;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
3093;2120;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;1988
