Source;Target;Relationship type;Pääluokka;Alaluokka;Tapaus_ID
3090;1072;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;9
786;3122;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;10
461;1715;1–2;Maanhallinta ja nautinta;Tilan tai tontin hallinta;11
1943;3167;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;12
1028;2631;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
1028;3261;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
1028;2523;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
1028;2723;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
1028;1026;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
2631;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
2631;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
2631;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
2631;1026;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
3261;2523;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
3261;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
3261;1026;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
2523;2723;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
2523;1026;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
2723;1026;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;32
334;319;1–2;Vahingonkorvaukset;Muut vahingonkorvaukset;33
2638;134;5–5;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
2638;2309;5–6;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
2638;640;5–2;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
2638;2608;5–2;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
134;2309;5–6;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
134;640;5–2;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
134;2608;5–2;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
2309;640;6–2;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
2309;2608;6–2;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
640;2608;2–2;Seksuaalirikokset;Yksinkertainen tai molemminpuolinen huoruus;34
668;2150;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;35
668;1086;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;35
2150;1086;2–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;35
