Id;Label;Arvo
1215;Maiko Kutilainen;Piika
1218;Olof Kutilainen;
1221;Olof Kutvonen;
1249;Lars Kähkönen;
1255;Mats Matsson Kähkönen;
1265;Pehr Kähkönen;
1281;Jöns Kämäräinen;
1285;Mats Kämäräinen;
1286;Mats Pehrsson Kämäräinen;
1289;Pehr Kämäräinen;
1306;Anders Kärkkäinen;
1316;Inga Kärkkäinen;
1322;Jöns Kärkkäinen;
1343;Olof Kärkkäinen;
1349;Pehr Kärkkäinen;
1352;Pehr Pehrsson Kärkkäinen;
1376;Jacob Käukonen;
1377;Olof Kekkonen;
1380;Jöran Kääriäinen;
1390;Visa Kankkunen;
1411;Joseph Laja;Oululainen porvari
1416;Alfred Henrichsson Lappalainen;
1424;Anna Olofsdotter Lappalainen;
1433;Erik Lappalainen;
1438;Hans Henrichsson Lappalainen;
1442;Henrich Henrichsson Lappalainen;
1445;Henrich Lappalainen;
1446;Henrich Larsson Lappalainen;
1454;Jacob Matsson Lappalainen;
1466;Lars Henrichsson Lappalainen;
1467;Lars Lappalainen;
1468;Lars Larsson Lappalainen;
1469;Lars Matsson Lappalainen;
1470;Lars Olofsson Lappalainen;
1474;Margareta Hansdotter Lappalainen;
1477;Mats Lappalainen;
1481;Mårten Henrichsson Lappalainen;
1485;Olof Henrichsson Lappalainen;
1486;Olof Lappalainen;
1489;Pehr Lappalainen;
1511;Anders Mårtensson Lapveteläinen;
1512;Anders Pehrsson Lapveteläinen;
1520;Erik Andersson Lapveteläinen;
1522;Erik Lapveteläinen;
1526;Henrich Pehrsson Lapveteläinen;
1534;Karin Pehrsdotter Lapveteläinen;Irtolainen
1535;Kirstin Lapveteläinen;
1537;Lars Mårtensson Lapveteläinen;
1538;Mats Andersson Lapveteläinen;
1540;Mats Lapveteläinen;
1541;Mats Mårtensson Lapveteläinen;
1546;Pehr Lapveteläinen;
1548;Philip Lapveteläinen;
1549;Påhl Enevaldsson Lapveteläinen;
1556;Thomas Lapveteläinen;
1568;Johan Larsson;
1572;Pehr Larsson;Vouti
1582;Johan Olofsson Launonen;
1589;Simon Andersson Leinonen;
1590;Valborg Jöransdotter Leinonen;Irtolainen
1595;Jöns Leskinen;
1612;Maiko Pehrsdotter Lintunen;
1614;Michel Pehrsson Lintunen;
1621;Lars Lipponen;
1627;Pehr Lipsa Halonen;
1633;Anders Lukkarinen;
1639;Hemming Jöransson Lukkarinen;
1640;Hemming Larsson Lukkarinen;
1652;Lars Lukkarinen;
1657;Olof Lukkarinen;
1677;Kaisa Kuosmanen;
1687;Eskil Makkonen;Lautamies
1688;Eskil Matsson Makkonen;
1689;Eskil Olofsson Makkonen;
1703;Mats Eskilsson Makkonen;
1705;Olof Eskilsson Makkonen;
1709;Pehr Makkonen;
1711;Påhl Eskilsson Makkonen;
1712;Påhl Makkonen;
1715;Grels Malinen;
1729;Axel Martikainen;
1735;Christer Martikainen;
1746;Jacob Martikainen;
1747;Jacob Pehrsson Martikainen;
1749;Johan Martikainen;
1751;Johan Pehrsson Martikainen;
1753;Jöran Martikainen;
1759;Kirstin Påhlsdotter Martikainen;
1760;Lars Martikainen;
1765;Olof Martikainen;
1771;Pehr Martikainen;
1772;Pehr Olofsson Martikainen;
1773;Pehr Pehrsson Martikainen;
1786;Michel Matilainen;
1787;Olof Matilainen;
1790;Henrich Matsson;
1792;Jacob Matsson Martikainen;
1796;Lars Matsson;Paltamon kirkkoherran  Matthias Laurentii Björneburgensis poika
1806;Erik Michelsson;
1821;Michel Olofsson Mikkonen;
1852;Lars Mårtensson;
1854;Olof Mårtensson;Lainlukija
1857;Clemet Olofsson Mähönen;
1861;Olof Mähönen;
1862;Henrich Mäkeläinen;
1868;Hans Määttä;
1874;Karl Mörner;
1879;Abraham Jöransson Nicolaus;Kirjanpitäjä
1884;Anders Niirainen;
1886;Asko Niirainen;
1896;Pehr Andersson Niirainen;
1897;Pehr Niirainen;
1900;Thomas Niirainen;
1913;Lars Nilsson;
1918;Anders Andersson Niskanen;
1931;Isak Niskanen;
1932;Isak Olofsson Niskanen;
1933;Isak Påhlsson Niskanen;
1943;Joseph Niskanen;
1964;Påhl Niskanen;
1983;Jöran Nissinen;
1984;Jöran Olofsson Nissinen;
1996;Mårten Nissinen;
1998;Nils Nissinen;
1999;Nils Olofsson Nissinen;
2001;Olof Nilsson Nissinen;Talonpoika
2002;Olof Nissinen;
2003;Olof Olofsson Nissinen;
2004;Olof Pehrsson Nissinen;
2014;Påhl Nissinen;
2018;Staphan Pehrsson Nissinen;
2022;Mats Noppala;
2028;Olof Nousiainen;Lautamies
2030;Påhl Nousiainen;Lautamies
2036;Olof Nykänen;
2047;Anders Ollikainen;
2050;Christer Ollikainen;
2058;Henrich Ollikainen;
2059;Henrich Pehrsson Korpi Ollikainen;
2060;Henrich Pehrsson Ollikainen;
2089;Marcus Andersson Ollikainen;
2095;Pehr Ollikainen;
2111;Ollikkalaboar;
2115;Margareta Olofsdotter;
2120;Isak Olofsson;Pitäjänkirjuri
2131;Åke Oxenstierna;
2141;Pehr Lipsa Palonen;
2144;Bengt Parkkinen;
2150;Partalaboar;
2154;Anders Johansson Partanen;
2155;Anders Jönsson Partanen;
2156;Anders Jöransson Partanen;
2157;Anders Olofsson Partanen;
2158;Anders Partanen;
2164;Asko Partanen;
2167;Bertil Olofsson Partanen;
2175;Erik Partanen;
2182;Henrich Ivarsson Partanen;
2184;Henrich Partanen;
2185;Henrich Påhlsson Partanen;
2195;Johan Karlsson Partanen;
2203;Jöns Partanen;Lautamies
2205;Jöns Visasson Partanen;
2216;Karl Partanen;
2224;Lars Karlsson Partanen;
2225;Lars Michelsson Partanen;
2226;Lars Partanen;
2229;Lauri Partanen;
2230;Maiko Partanen;
2231;Marcus Partanen;
2236;Michel Michelsson Partanen;
2237;Michel Olofsson Partanen;
2238;Michel Partanen;
2242;Nils Partanen;
2246;Olof Michelsson Partanen;
2249;Olof Pehrsson Partanen;
2255;Pehr Partanen;
2260;Påhl Bertilsson Partanen;
2267;Påhl Partanen;
2268;Påhl Pehrsson Partanen;
2280;Visa Jönsson Partanen;
2281;Visa Michelsson Partanen;
2282;Visa Partanen;
2292;Pehr Påhlsson Parviainen;
2298;Anna Pehrsdotter Makkonen;
2301;Maiko Pehrsdotter;
2306;Henrich Pehrsson;
2309;Lars Pehrsson;Vouti
2312;Ture Pehrsson;
2316;Mats Pekkarinen;
2322;Anders Pehrsson Peltonen;
2329;Anders Pesonen;
2352;Kaisa Philipsdotter;
2363;Henrich Pielikäinen;Karannut sotilas
2379;Henrich Pietikäinen;Sijaissotilas
2383;Nils Pietikäinen;
2389;Michel Pikkarainen;
2393;Henrich Pitkänen;
2444;Zacharias Pyk;Oululainen porvari
2448;Anders Pyllkäs;
2461;Olof Påhlsson Schmit;
2473;Pehr Pöksyläinen;
2474;Lars Pehrsson Pölhö;Vouti
2479;Anders Pöllänen;
2481;Erik Pöllänen;
2484;Jacob Pöllänen;
2490;Pehr Pöllänen;
2497;Påhl Raatikainen;Lautamies (1644)
2510;Johan Karlsson Rautapartanen;
2511;Johan Rautapartanen;
2513;Karin Andersdotter Rautapartanen;
2523;Påhl Jönssön Rautapartanen;Lautamies
2524;Beata Rautiainen;
2529;Olof Reijanen;
2538;Jöns Jönsson Remes;
2539;Jöns Remes;
2542;Lars Remes;
2544;Mats Andersson Remes;
2546;Mats Remes;
2553;Visa Renkonen;
2567;Thomas Rissanen;
2578;Christer Nilsson Roivas;Kirkkoherran poika
2579;Lars Nilsson Roivas;Kirkkoherran poika
2580;Nils Roivas;Kirkkoherra
2583;Påhl Ronkanen;
2588;Lars Rotinen;
2589;Henrich Rovalainen;
2597;Anders Larsson Ruotsalainen;
2599;Anders Pehrsson Ruotsalainen;
2600;Anders Ruotsalainen;
2608;Elin Larsdotter Ruotsalainen;Sotilaan vaimo
2619;Henrich Ruotsalainen;
2627;Mats Pehrsson Ruotsalainen;
2631;Nils Pehrsson Ruotsalainen;Lautamies
2632;Nils Ruotsalainen;
2638;Pehr Ruotsalainen;Lautamies 1644 ylim. Käräjillä
2640;Påhl Henrichsson Ruotsalainen;
2644;Påhl Ruotsalainen;
2651;Anders Ryhänen leski;
2663;Pehr Olofsson Ryhänen;
2664;Pehr Ryhänen;
2688;Henrich Rytkönen;
2707;Pehr Pehrsson Rytkönen;
2708;Pehr Påhlsson Rytkönen;
2709;Pehr Rytkönen;
2710;Påhl Andersson Rytkönen;
2713;Påhl Påhlsson Rytkönen;
2716;Bertil Ryynänen;
2723;Henrich Ryynänen;Lautamies
2730;Nils Ryynänen;
2731;Olof Ryynänen;
2742;Bengt Räisänen;
2750;Anders Andersson Rönkkö;
2751;Anders Larsson Rönkkö;Lautamies
2752;Anders Rönkkö;
2756;Jöns Rönkkö;
2757;Lars Andersson Rönkkö;
2760;Lars Rönkkö;Lautamies
2772;Visa Rönkkö;
2799;Anders Saikonen;
2812;Michel Saikonen;
2817;Påhl Saikonen;
2823;Lars Sairanen;
2824;Mats Sairanen;
2842;Ivar Savolainen;
2850;Barbara Schade;Majuri Haran vaimo/leski
2855;Lars Sigfredsson;Lainlukija
2857;Anna Pehrsdotter Sihvonen;Leski
2858;Arved Larsson Sihvonen;
2862;Påhl Sihvonen;
2865;Thomas Thomasson Silvennoinen;
2866;Anders Simonis;
2870;Henrich Siponen;
2892;Pehr Sihvonen;
2893;Påhl Pehrsson Sihvonen;
2911;Brita Sormunen;
2924;Olof Sormunen;
2926;Henrich Sorpainen;
2949;Helga Jönsdotter Suhonen;
2966;Pehr Suripää;
2967;Påhl Suripää;
2969;Anders Andersson Sutinen;
2970;Anders Pehrsson Sutinen;
2971;Anders Sutinen;
2974;Lars Matsson Sutinen;
2978;Nils Andersson Sutinen;
2980;Nils Sutinen;
2981;Olof Olofsson Sutinen;
2983;Pehr Larsson Sutinen;
2994;Mårten Svensson;
3008;Bertil Tapaninen;
3011;Henrich Tapaninen;
3014;Pehr Tapaninen;
3015;Staphan Philipsson Tapaninen;
3019;Hans Taskinen;
3021;Johan Tavast;
3028;Anders Tenhunen;
3060;Påhl Tiainen;
3063;Mats Tiihonen;
3073;Anders Matsson Tikkanen;
3074;Anders Tikkanen;
3082;Elin Tikkanen;
3088;Henrich Henrichsson Tikkanen;
3090;Henrich Tikkanen;Lautamies
3093;Hintza Tikkanen;Lautamies
3113;Olof Andersson Tikkanen;
3122;Pehr Tikkanen;Lukkari
3125;Påhl Hintzasson Tikkanen;
3156;Inga Turunen;
3163;Lars Matsson Tossavainen;
3167;Lars Tossavainen;
3172;Michel Larsson Tossavainen;
3184;Påhl Tossavainen;
3193;Bertil Tuovinen;
3196;Erik Tuovinen;Lautamies
3199;Jöran Jöransson Tuovinen;
3200;Jöran Tuovinen;
3210;Michel Tuovinen;
3211;Olof Michelsson Tuovinen;
3214;Pehr Jöransson Tuovinen;
3235;Mats Tårpkuna;
3245;Christer Ulmanen;
